id,title,release_year,budget,revenue,original_language,runtime,popularity,goodness_enc,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
146233,Prisoners,2013,46000000,122126687,en,153.0,88.496873,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
146238,Runner Runner,2013,30000000,62616646,en,91.0,22.975918,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146239,Delivery Man,2013,26000000,51164106,en,105.0,30.114383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146304,The Best Man Holiday,2013,17000000,71625195,en,123.0,7.210095,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
146631,U.F.O.,2012,2500000,0,en,101.0,8.248149,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147441,Exodus: Gods and Kings,2014,140000000,268031828,en,150.0,101.599427,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147767,Khiladi 786,2012,0,126,en,139.0,0.11434200000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147773,The Way Way Back,2013,4600000,23198652,en,103.0,32.14444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150202,The Haunting in Connecticut 2: Ghosts of Georgia,2013,0,0,en,101.0,11.708343,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150211,The Frozen,2012,0,0,en,0.0,1.084387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150540,Inside Out,2015,175000000,857611174,en,94.0,128.65596399999998,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
150689,Cinderella,2015,95000000,543514353,en,105.0,101.18705200000001,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
152532,Dallas Buyers Club,2013,5000000,55198285,en,117.0,59.454473,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
152599,The Immigrant,2013,16000000,5867686,en,117.0,13.832464000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
152601,Her,2013,23000000,47351251,en,126.0,53.682367000000006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152737,August: Osage County,2013,25000000,74188937,en,121.0,20.561682,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
152742,The Best Offer,2013,13500000,19255873,en,124.0,30.058263,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
152747,All Is Lost,2013,9000000,6108720,en,106.0,28.540614,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
152760,The Monuments Men,2014,70000000,154984035,en,118.0,43.873266,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
153158,Underdogs,2013,22000000,24000000,es,106.0,14.866351000000002,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
153397,Restless,2012,0,0,en,180.0,0.812776,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
153518,The Angry Birds Movie,2016,73000000,349779543,en,97.0,45.720894,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153795,Straight A's,2013,7000000,0,en,88.0,4.508290000000001,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
156022,The Equalizer,2014,55000000,192330738,en,132.0,79.92205899999999,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
157058,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,2013,0,0,en,80.0,1.737032,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
157185,Tin Can Man,2007,13,0,en,84.0,0.332679,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157293,ABCD (Any Body Can Dance),2013,0,222000,hi,160.0,1.294967,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157336,Interstellar,2014,165000000,675120017,en,169.0,724.247784,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
157350,Divergent,2014,85000000,288747895,en,139.0,80.316463,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157353,Transcendence,2014,100000000,103039258,en,119.0,58.991388,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
157354,Fruitvale Station,2013,0,17385830,en,85.0,20.967146,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
157386,The Spectacular Now,2013,2500000,6854611,en,95.0,25.722747000000002,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
157422,The Wicked Within,2015,0,0,en,91.0,1.906151,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
157544,The Vatican Tapes,2015,13000000,1784763,en,91.0,10.475368,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157547,Oculus,2013,5000000,44030246,en,104.0,35.871248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
157841,The Young and Prodigious T.S. Spivet,2013,33000000,9494789,en,105.0,10.651202,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
157847,Joe,2014,4000000,2365467,en,118.0,22.987897,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
157849,A Most Wanted Man,2014,15000000,31554855,en,121.0,26.708192999999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
157909,Show Me,2004,0,0,en,97.0,0.23129699999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158011,The Call,2013,13000000,68572378,en,94.0,34.532418,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158015,The Purge,2013,3000000,89328627,en,86.0,54.40303299999999,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
158150,How to Fall in Love,2012,4000000,0,en,0.0,1.923514,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
158752,Escape from Tomorrow,2013,650,0,en,90.0,1.352222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
158852,Tomorrowland,2015,190000000,209154322,en,130.0,130.311355,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
158895,This Is Martin Bonner,2013,0,0,en,83.0,0.76368,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
159014,20 Feet from Stardom,2013,1000000,0,en,89.0,5.247955999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159037,The Square,2013,0,0,ar,88.0,4.892203,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
159770,The Dirties,2013,0,0,en,83.0,0.833937,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
159824,Hotel Transylvania 2,2015,80000000,473226958,en,89.0,61.692197,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160588,Blue Jasmine,2013,18000000,99206215,en,98.0,34.694216,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161795,Déjà Vu,1998,0,0,en,117.0,0.605645,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
162903,The Fifth Estate,2013,28000000,8555008,en,128.0,20.267062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164372,The Snow Queen,2012,7000000,12400000,ru,76.0,5.33861,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
164457,Out of the Furnace,2013,22000000,15400000,en,116.0,29.230297999999998,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
164558,One Direction: This Is Us,2013,10000000,0,en,92.0,7.944457000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165864,Hansel and Gretel Get Baked,2013,4500000,0,en,86.0,2.503612,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
166424,Fantastic Four,2015,120000000,167977596,en,100.0,38.126095,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
